,date,SPY
0,2019-03-19,2832.570068359375
1,2019-03-20,2824.22998046875
2,2019-03-21,2854.8798828125
3,2019-03-22,2800.7099609375
4,2019-03-25,2798.360107421875
5,2019-03-26,2818.4599609375
6,2019-03-27,2805.3701171875
7,2019-03-28,2815.43994140625
8,2019-03-29,2834.39990234375
9,2019-04-01,2867.18994140625
10,2019-04-02,2867.239990234375
11,2019-04-03,2873.39990234375
12,2019-04-04,2879.389892578125
13,2019-04-05,2892.739990234375
14,2019-04-08,2895.77001953125
15,2019-04-09,2878.199951171875
16,2019-04-10,2888.2099609375
17,2019-04-11,2888.320068359375
18,2019-04-12,2907.409912109375
19,2019-04-15,2905.580078125
20,2019-04-16,2907.06005859375
21,2019-04-17,2900.449951171875
22,2019-04-18,2905.030029296875
23,2019-04-22,2907.969970703125
24,2019-04-23,2933.679931640625
25,2019-04-24,2927.25
26,2019-04-25,2926.169921875
27,2019-04-26,2939.8798828125
28,2019-04-29,2943.030029296875
29,2019-04-30,2945.830078125
30,2019-05-01,2923.72998046875
31,2019-05-02,2917.52001953125
32,2019-05-03,2945.639892578125
33,2019-05-06,2932.469970703125
34,2019-05-07,2884.050048828125
35,2019-05-08,2879.419921875
36,2019-05-09,2870.719970703125
37,2019-05-10,2881.39990234375
38,2019-05-13,2811.8701171875
39,2019-05-14,2834.409912109375
40,2019-05-15,2850.9599609375
41,2019-05-16,2876.320068359375
42,2019-05-17,2859.530029296875
43,2019-05-20,2840.22998046875
44,2019-05-21,2864.360107421875
45,2019-05-22,2856.27001953125
46,2019-05-23,2822.239990234375
47,2019-05-24,2826.06005859375
48,2019-05-28,2802.389892578125
49,2019-05-29,2783.02001953125
50,2019-05-30,2788.860107421875
51,2019-05-31,2752.06005859375
52,2019-06-03,2744.449951171875
53,2019-06-04,2803.27001953125
54,2019-06-05,2826.14990234375
55,2019-06-06,2843.489990234375
56,2019-06-07,2873.340087890625
57,2019-06-10,2886.72998046875
58,2019-06-11,2885.719970703125
59,2019-06-12,2879.840087890625
60,2019-06-13,2891.639892578125
61,2019-06-14,2886.97998046875
62,2019-06-17,2889.669921875
63,2019-06-18,2917.75
64,2019-06-19,2926.4599609375
65,2019-06-20,2954.179931640625
66,2019-06-21,2950.4599609375
67,2019-06-24,2945.35009765625
68,2019-06-25,2917.3798828125
69,2019-06-26,2913.780029296875
70,2019-06-27,2924.919921875
71,2019-06-28,2941.760009765625
72,2019-07-01,2964.330078125
73,2019-07-02,2973.010009765625
74,2019-07-03,2995.820068359375
75,2019-07-05,2990.409912109375
76,2019-07-08,2975.949951171875
77,2019-07-09,2979.6298828125
78,2019-07-10,2993.070068359375
79,2019-07-11,2999.909912109375
80,2019-07-12,3013.77001953125
81,2019-07-15,3014.300048828125
82,2019-07-16,3004.0400390625
83,2019-07-17,2984.419921875
84,2019-07-18,2995.110107421875
85,2019-07-19,2976.610107421875
86,2019-07-22,2985.030029296875
87,2019-07-23,3005.469970703125
88,2019-07-24,3019.56005859375
89,2019-07-25,3003.669921875
90,2019-07-26,3025.860107421875
91,2019-07-29,3020.969970703125
92,2019-07-30,3013.179931640625
93,2019-07-31,2980.3798828125
94,2019-08-01,2953.56005859375
95,2019-08-02,2932.050048828125
96,2019-08-05,2844.739990234375
97,2019-08-06,2881.77001953125
98,2019-08-07,2883.97998046875
99,2019-08-08,2938.090087890625
100,2019-08-09,2918.64990234375
101,2019-08-12,2882.699951171875
102,2019-08-13,2926.320068359375
103,2019-08-14,2840.60009765625
104,2019-08-15,2847.60009765625
105,2019-08-16,2888.679931640625
106,2019-08-19,2923.64990234375
107,2019-08-20,2900.510009765625
108,2019-08-21,2924.429931640625
109,2019-08-22,2922.949951171875
110,2019-08-23,2847.110107421875
111,2019-08-26,2878.3798828125
112,2019-08-27,2869.159912109375
113,2019-08-28,2887.93994140625
114,2019-08-29,2924.580078125
115,2019-08-30,2926.4599609375
116,2019-09-03,2906.27001953125
117,2019-09-04,2937.780029296875
118,2019-09-05,2976.0
119,2019-09-06,2978.7099609375
120,2019-09-09,2978.429931640625
121,2019-09-10,2979.389892578125
122,2019-09-11,3000.929931640625
123,2019-09-12,3009.570068359375
124,2019-09-13,3007.389892578125
125,2019-09-16,2997.9599609375
126,2019-09-17,3005.699951171875
127,2019-09-18,3006.72998046875
128,2019-09-19,3006.7900390625
129,2019-09-20,2992.070068359375
130,2019-09-23,2991.780029296875
131,2019-09-24,2966.60009765625
132,2019-09-25,2984.8701171875
133,2019-09-26,2977.6201171875
134,2019-09-27,2961.7900390625
135,2019-09-30,2976.739990234375
136,2019-10-01,2940.25
137,2019-10-02,2887.610107421875
138,2019-10-03,2910.6298828125
139,2019-10-04,2952.010009765625
140,2019-10-07,2938.7900390625
141,2019-10-08,2893.06005859375
142,2019-10-09,2919.39990234375
143,2019-10-10,2938.1298828125
144,2019-10-11,2970.27001953125
145,2019-10-14,2966.14990234375
146,2019-10-15,2995.679931640625
147,2019-10-16,2989.68994140625
148,2019-10-17,2997.949951171875
149,2019-10-18,2986.199951171875
150,2019-10-21,3006.719970703125
151,2019-10-22,2995.989990234375
152,2019-10-23,3004.52001953125
153,2019-10-24,3010.2900390625
154,2019-10-25,3022.550048828125
155,2019-10-28,3039.419921875
156,2019-10-29,3036.889892578125
157,2019-10-30,3046.77001953125
158,2019-10-31,3037.56005859375
159,2019-11-01,3066.909912109375
160,2019-11-04,3078.27001953125
161,2019-11-05,3074.6201171875
162,2019-11-06,3076.780029296875
163,2019-11-07,3085.179931640625
164,2019-11-08,3093.080078125
